case_id,title,pmid_or_doi,journal,year,disease_primary,icd_or_ordo_id,patient_age_group,patient_sex,presentation_summary,features_summary,negative_findings,diagnostic_tests_summary,treatment_summary,outcome,follow_up,has_figures,figure_count,oa_status,fulltext_url,license_note,parse_status,notes
pmid:41907047,Vaginal delivery in a woman with prune belly syndrome: a case report.,PMID:41907047; DOI:10.1016/j.xagr.2026.100622,AJOG global reports,2026,,,,,"Prune belly syndrome (PBS) is a rare congenital disorder predominantly affecting males, making cases involving females, and particularly pregnant women, uncommon. A clinical manifestation of PBS is abdominal muscle deficiency, which may contribute to a prolonged second stage of labor (PSSL). To date, only four cases of labor in women with PBS have been reported in the literature: three gave birth ",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09011
pmid:41710103,Mechanophilia - a case report of a specific fetishistic disorder.,PMID:41710103; DOI:10.3389/fpsyt.2026.1749802,Frontiers in psychiatry,2026,,,,,"In our case report, we present a very rare variant of fetishism, mechanophilia, by describing a case from our forensic psychiatric practice. Mechanophilia is a form of fetishism classified as a paraphilia, when a person is sexually aroused by various vehicles, most often cars, less often bicycles or airplanes. We report on the forensic psychiatric examination of a middle-aged man, who opened the f",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09012
pmid:41755372,Management of Extensive Xanthogranulomatous Cholecystitis Lesions: A Case Report.,PMID:41755372; DOI:10.12659/ajcr.951051,The American journal of case reports,2026,,,,,"BACKGROUND Xanthogranulomatous cholecystitis (XGC) is a rare benign gallbladder disease with an incidence rate ranging from 3.3% to 8.8%. XGC is prone to be misdiagnosed as gallbladder cancer when inflammatory lesions spread into the gallbladder wall and adjacent tissue. This case report explores the clinical and radiological features, surgical outcomes, and treatment strategies for extensive XGC ",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09013
pmid:41666880,Pleural and Pericardial Effusions Associated with Semaglutide: A Case Report.,PMID:41666880; DOI:10.5811/cpcem.48864,Clinical practice and cases in emergency medicine,2026,,,,,"<h4>Introduction</h4>Semaglutide, a glucagon-like peptide-1 receptor agonist, has gained increasing popularity for managing both type 2 diabetes mellitus and obesity. However, as its use increases, new adverse events are emerging. This case report presents a 70-year-old patient who developed pleural and pericardial effusions likely related to semaglutide use.<h4>Case report</h4>Four weeks after be",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09014
pmid:41718301,An Unusual Presentation of Cholangiocarcinoma: The Sister Mary Joseph Nodule-A Case Report.,PMID:41718301; DOI:10.3390/reports9010051,Reports (MDPI),2026,,,,,"<b>Background and Clinical Significance</b>: Sister Mary Joseph nodules (SMJN) are rare extra-intestinal manifestations of metastatic intra-abdominal and pelvic malignancies, often indicating advanced disease and poor prognosis. Their association with cholangiocarcinoma (CCA) is particularly uncommon, with only a limited number of reported cases. <b>Case Presentation</b>: We present a case report ",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09015
pmid:41767094,Persistent eosinophilia following treatment for pediatric pyogenic liver abscess: A case report.,PMID:41767094; DOI:10.1177/2050313x261426106,SAGE open medical case reports,2026,,,,,"This case report describes a case of pyogenic liver abscess potentially associated with toxocariasis, a rare disease in the United States. A 3-year-old girl presented with new abdominal pain and fever. Contrasted computed tomography of the abdomen revealed a 2-cm hepatic abscess, which was subsequently drained. Culture of abscess fluid grew methicillin-resistant <i>Staphylococcus aureus</i>, and t",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09016
pmid:41908640,Case Report: Bilateral perineuroma of the orbit presenting as vertical binocular diplopia.,PMID:41908640; DOI:10.3389/fopht.2026.1777572,Frontiers in ophthalmology,2026,,,,,"In this case report, we describe a 65-year-old woman who presented to the ophthalmology clinic with vertical binocular diplopia for approximately 2 years. Visual exam was notable for bilateral proptosis and ophthalmoplegia. A computed tomography (CT) of the head revealed bilateral enhancing orbital masses. A biopsy was performed, and the result was positive for epithelial membrane antigen (EMA) an",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09017
pmid:41782968,A rare case report of Xanthogranulomatous peritonitis mimicking ovarian cancer.,PMID:41782968; DOI:10.1016/j.radcr.2026.01.087,Radiology case reports,2026,,,,,"Xanthogranulomatous inflammation is an uncommon form of chronic inflammation characterized by the accumulation of lipid-laden macrophages. While commonly observed in organs like the gallbladder and kidneys, xanthogranulomatous involvement of the peritoneum is exceedingly rare and poorly documented in the literature. We present an atypical presentation of rare xanthogranulomatous peritonitis as an ",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09018
pmid:41801837,Recurrent Eosinophilic Pancreatitis With Eosinophilic Gastroenteritis: A Case Report.,PMID:41801837; DOI:10.12659/ajcr.950992,The American journal of case reports,2026,,,,,"BACKGROUND Eosinophilic pancreatitis (EP), representing <1% of pancreatitis cases, poses significant diagnostic challenges due to its heterogeneous manifestations ranging from mild to life-threatening. The overlapping clinical symptoms and imaging features with other types of pancreatitis often make EP particularly difficult to differentiate. Although tissue demonstration of eosinophilic infiltrat",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09019
pmid:41778085,Three-dimensional Myofascial Release and Neck Strengthening in the Management of Cervical Spondylosis-A Case Report.,PMID:41778085; DOI:10.3822/ijtmb.v19i1.1257,International journal of therapeutic massage & bodywork,2026,,,,,"<h4>Background</h4>Cervical spondylosis is a degenerative condition caused by age-related wear and tear of the spinal discs and joints. It can lead to stiffness, pain, and reduced mobility. Three-dimensional myofascial release (3D-MFR) is a technique that involves stretching, compression, and movement to release fascial restrictions, reduce pain, and improve mobility. This case report illustrates ",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09020
pmid:41868704,Infusion of tPA-dornase for management of intraabdominal abscesses: a case report.,PMID:41868704; DOI:10.1093/jscr/rjag177,Journal of surgical case reports,2026,,,,,"Postoperative intra-abdominal abscesses are a common postsurgical complication and can lead to prolonged hospitalization and severe sepsis. The management of these abscesses is typically conservative, with intravenous antibiotics and percutaneous drainage. In those who fail conservative management, the next step is typically surgical intervention with washout. However, this may be contraindicated ",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09021
pmid:41907599,Duodenal and cutaneous metastases from advanced rectal cancer: a rare case report.,PMID:41907599; DOI:10.3389/fonc.2026.1754861,Frontiers in oncology,2026,,,,,"Duodenal and cutaneous metastases from rectal cancer are rare and associated with poor prognosis. This case report describes a patient with advanced rectal cancer who developed these uncommon metastases after first-line therapy. Upon treatment with fruquintinib, the patient experienced a rapid and significant regression of the cutaneous lesions, demonstrating a visible clinical response. This sugg",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09022
pmid:41743695,Bochdalek Hernia as a Discrepant Intraoperative Diagnosis in a Paraesophageal Hernia Surgery: A Surgical Case Report.,PMID:41743695; DOI:10.1155/cris/9953339,Case reports in surgery,2026,,,,,"Bochdalek hernia (BH) is a rare paediatric condition, but late diagnoses occur in adults. It occurs following incomplete posterolateral development of the diaphragm. Adult BH is asymptomatic in most cases, but it has the potential of being life-threatening. This case report is of a 35-year-old female patient who presented to us with a history of childhood abdominal discomfort leading to frequent h",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09023
pmid:41268742,Pediatric Spitzoid Melanoma: A Case Report.,PMID:41268742; DOI:10.5644/ama2006-124.482,Acta medica academica,2025,,,,,"<h4>Objective</h4>To highlight the diagnostic and therapeutic challenges of Spitzoid melanoma in childhood, with a focus on its potential genetic predisposition.<h4>Case report</h4>A 7-year-old female patient presented with a growing nodular lesion on her upper leg. Excision was performed, and histopathological analysis confirmed a diagnosis of Spitzoid melanoma, classified as pT2a. Following a mu",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09024
pmid:41815654,Single Peg Patellar Component Fracture in Total Knee Replacement: A Case Report.,PMID:41815654; DOI:10.13107/jocr.2026.v16.i03.6952,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Total knee arthroplasty (TKA) is considered the definitive treatment for advanced degenerative disease in the knee and involves replacing the native joint with prosthetic components. Failure mechanisms have been studied extensively due to the ubiquitous nature of these procedures. In this case report, the failure of a press-fit patellar component in a cementless TKA is investi",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09025
pmid:41666891,Carotidynia-A Rare Cause of Anterior Neck Pain: Case Report.,PMID:41666891; DOI:10.5811/cpcem.48896,Clinical practice and cases in emergency medicine,2026,,,,,"<h4>Introduction</h4>Carotidynia is a rare, often under-diagnosed condition characterized by idiopathic inflammation around the carotid artery, presenting with unilateral neck pain that typically resolves within two weeks.<h4>Case report</h4>A 32-year-old male presented with intermittent right anterior neck pain for two years, with no other associated symptoms. Computed tomography revealed carotid",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09026
pmid:41659939,A Rare Case Report of Four Bilateral Maxillary Lateral Incisors in a Non-Syndromic Patient.,PMID:41659939; DOI:10.1002/ccr3.72015,Clinical case reports,2026,,,,,"Bilateral supernumerary maxillary lateral incisors in non-syndromic adults are extremely rare and pose diagnostic and treatment challenges. This case report describes a 34-year-old male with esthetic concerns and malocclusion, successfully managed through strategic extraction, transverse expansion, and fixed orthodontic therapy, achieving stable occlusion and improved esthetics.",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09027
pmid:41573648,Treatment challenges in glioblastoma: a case report.,PMID:41573648; DOI:10.3389/fonc.2025.1651939,Frontiers in oncology,2025,,,,,"This clinical case report aimed to show the survival timeline of a glioblastoma patient who underwent surgery and received adjuvant treatments in accordance with the Stupp protocol. Starting on the day of surgery, a liquid biopsy was employed to assess the dynamic alterations in cell-free DNA (cfDNA). Upon recurrence, reoperation was conducted, and repeated radiochemotherapy was applied. This clin",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09028
pmid:41766765,Scleromyxedema Managed With High-Dose Intravenous Immunoglobulin and Bortezomib-Dexamethasone: A Case Report.,PMID:41766765; DOI:10.1155/crom/3773160,Case reports in oncological medicine,2026,,,,,"Scleromyxedema is a rare, chronic cutaneous mucinosis marked by widespread waxy papules and potential extracutaneous involvement. This case report discusses the management of a 48-year-old female diagnosed with scleromyxedema, who initially partially responded to high-dose intravenous immunoglobulin (HDIVIG) therapy. After partial relapse, she was induced with bortezomib, a proteasome inhibitor, a",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09029
pmid:41737122,Valsalva Maneuver in the Assessment of Recurrent Cholesteatoma: A Case Report.,PMID:41737122; DOI:10.7759/cureus.102208,Cureus,2026,,,,,"Cholesteatoma is a benign but destructive otologic disease with a tendency to recur or be incompletely removed during primary surgical management. Patients frequently undergo long-term clinical surveillance to facilitate early detection of recurrent disease. In this case report, we describe an interesting finding in a patient with recurrent cholesteatoma. The patient was asked to perform the Valsa",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09030
pmid:41822661,Atypical Presentation of Subarachnoid Hemorrhage (SAH): A Case Report.,PMID:41822661; DOI:10.7759/cureus.103266,Cureus,2026,,,,,"Subarachnoid hemorrhage (SAH) is a life-threatening condition, often caused by an aneurysmal rupture. Generally, it presents with classical symptoms of thunderclap headache, along with other neurological findings; however, atypical presentations can also occur, hence leading to a delay in diagnosis, particularly in elderly patients. We present a case of a 71-year-old woman diagnosed with acute pan",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09031
pmid:41797857,Aneurysmal Veins in Free Flaps: A Rare Case Report and Discussion.,PMID:41797857; DOI:10.1097/gox.0000000000007506,Plastic and reconstructive surgery. Global open,2026,,,,,"Microvascular anastomosis is a fundamental technique in reconstructive surgery, where careful selection and meticulous handling of vessels are critical in preventing thrombosis-the leading cause of flap failure. Despite the extensive literature surrounding the topic, aneurysmal veins-typically identified incidentally on imaging or occasionally presenting with thrombosis when located in the deep ve",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09032
pmid:41563506,Prenatal diagnosis of Blepharo-Cheilo-Dontic syndrome: a case report.,PMID:41563506; DOI:10.1007/s00404-025-08268-0,Archives of gynecology and obstetrics,2026,,,,,"This case report describes the prenatal diagnosis of the extremely rare Blepharo-Cheilo-Dontic syndrome. After sonographic diagnosis of the bilateral cleft lip and palate and the persistent open eyelids, amniocentesis with subsequent molecular genetics confirmed the sonographically presumed de-novo mutation of the CDH1 gene and the Blepharo-Cheilo-Dontic Syndrome. After multidisciplinary counselin",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09033
pmid:41694930,Severe Transaminitis in a Patient With Influenza: A Case Report.,PMID:41694930; DOI:10.7759/cureus.101449,Cureus,2026,,,,,"We present a case of a patient with significant liver function test (LFT) elevation and rhabdomyolysis in the setting of influenza infection. Patients with influenza infection and transaminitis have a higher mortality rate. There is limited data on the incidence of this complication, as routine laboratory values are not obtained in the emergency department for viral syndromes. Our patient had mult",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09034
pmid:41473033,Case Report and Literature Review-From Ultrasound to Genotype: Periventricular Nodular Heterotopia.,PMID:41473033; DOI:10.1155/crog/6563701,Case reports in obstetrics and gynecology,2025,,,,,"<h4>Background and aims</h4>Periventricular nodular heterotopia is an unusual disorder caused by a neuronal migration disorder.<h4>Methods</h4>A case report and narrative review of the literature were carried out.<h4>Results</h4>This pathology involves multiple systemic manifestations, mainly neurological (seizures) and cardiovascular (valve insufficiency). Only 186 periventricular nodular heterot",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09035
pmid:41541449,Aneurysmal Bone Cyst of Talus: Case Report of a Rare Presentation.,PMID:41541449; DOI:10.13107/jocr.2026.v16.i01.6658,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Aneurysmal bone cysts (ABCs) are most commonly found in the metaphysis of long bones but are reported to have been found in other locations as well. While presentation of a swelling in a short bone is unlikely to be an ABC, the possibility should be kept in mind, especially with supporting radiological findings.<h4>Case report</h4>In this case report, we present the case of a ",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09036
pmid:41815648,Solitary Plasmacytoma and its Progression into Multiple Myeloma - A Case Report.,PMID:41815648; DOI:10.13107/jocr.2026.v16.i03.6958,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Solitary plasmacytoma (SP) is a rare plasma cell dyscrasia characterized by localized monoclonal plasma cell proliferation without systemic involvement. Although radiotherapy remains the standard treatment, progression to multiple myeloma (MM) is a recognized risk.<h4>Case report</h4>We report a case of SP initially presenting as a localized bone lesion, diagnosed through imag",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09037
pmid:41715213,A case report on atypical chromosomal variations in Turner syndrome.,PMID:41715213; DOI:10.1186/s13039-025-00745-0,Molecular cytogenetics,2026,,,,,"<h4>Background</h4>Turner syndrome (TS) is a common chromosomal abnormality caused by the complete or partial absence of one X chromosome. It affects approximately 1 in ~ 1,200 to 2,500 female births. In this case report, we examined the clinical details of a 21-year-old female for cytogenetic investigation due to the absence of menarche (primary amenorrhea). Karyotype analysis revealed [46,X, del",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09038
pmid:41804043,Peripheral Neuropathy Linked to Recreational Nitrous Oxide Use: A Case Report.,PMID:41804043; DOI:10.12659/ajcr.950412,The American journal of case reports,2026,,,,,"BACKGROUND Nitrous oxide (N₂O) deactivates vitamin B12 and, when inhaled regularly, can lead to vitamin B12 deficiency, resulting in temporary or permanent peripheral neuropathy. This case report describes a young adult with N₂O-induced B12 deficiency, whose neurological symptoms were initially misattributed to a distracting traumatic injury from a motor vehicle collision (MVC). CASE REPORT We pre",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T063 Europe PMC; manifest=DL09039
pmid:41695750,Congenital pseudarthrosis of the proximal tibia: a case report.,PMID:41695750; DOI:10.3389/fped.2026.1768501,Frontiers in pediatrics,2026,,,,,"Congenital pseudarthrosis of the tibia (CPT) is a rare and challenging pediatric orthopedic disorder that predominantly affects the distal or middle third of the tibia, with involvement of the proximal third being exceedingly rare. Literature on this condition remains limited. This case presents proximal tibial CPT with proximal tibial dysplasia in a 7-year-old male patient with neurofibromatosis ",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09040
pmid:41816163,Unravelling the trajectory of a maternal near miss - Need of tying the loose ends: A case report.,PMID:41816163; DOI:10.4103/jfmpc.jfmpc_2079_24,Journal of family medicine and primary care,2026,,,,,This case report examines a maternal near-miss incident case of severe anaemia attributed to health system failures. It highlights the importance of robust health systems in ensuring safe motherhood. A 28-year-old pregnant woman from a tribal community who had availed of multiple antenatal consultations at different community platforms was diagnosed with severe anaemia. The case was appropriately ,,,,,,,unknown,,yes,,cc by-nc-sa,metadata_only,T063 Europe PMC; manifest=DL09041
pmid:41669054,Gore-Tex Membrane Augmentation for Treatment of Acute Patellar Tendon Rupture in a Soccer Player - A Case Report.,PMID:41669054; DOI:10.13107/jocr.2026.v16.i02.6752,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Patellar tendon rupture is a serious injury affecting the knee extensors and often requires surgical repair with graft augmentation, which lengthen return to sports not sooner than 6 months.<h4>Case report</h4>We, hereby, describe a case of an active male presenting with sudden knee pain and inability to flex the knee during a soccer match. Clinical examination and imaging wer",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09042
pmid:41664784,Dissecting Cellulitis of the Scalp: A Case Report.,PMID:41664784; DOI:10.7759/cureus.101164,Cureus,2026,,,,,"Dissecting cellulitis of the scalp, also commonly referred to as dissecting folliculitis, is a rare, chronic, relapsing, suppurative disease characterized by painful nodules, purulent drainage, burrowing, and interconnecting abscesses. Dissecting cellulitis disproportionately affects Black males in early and mid-adulthood and may result in cicatricial alopecia, scarring disfigurement, and impaired",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09043
pmid:41798262,Splenic Vein Pseudoaneurysm and Rupture Presenting as Maternal Collapse Postpartum: Case Report.,PMID:41798262; DOI:10.1155/crog/7055450,Case reports in obstetrics and gynecology,2026,,,,,"A multiparous woman at 27 weeks gestation presented with hemodynamic instability and nonreassuring fetal heart tones, prompting emergency cesarean delivery. Intraoperatively, hemoperitoneum was noted without pelvic source. Postoperatively, she deteriorated, necessitating exploratory laparotomy. A ruptured splenic vein pseudoaneurysm was identified and splenectomy was performed. Both mother and inf",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09044
pmid:41404350,Xanthogranulomatous prostatitis: A case report.,PMID:41404350; DOI:10.1016/j.eucr.2025.103293,Urology case reports,2026,,,,,"Xanthogranulomatous Prostatitis (XGP) is a rare benign inflammatory condition of the prostate. Patients typically present with lower urinary tract symptoms or elevated serum prostate-specific antigen (PSA) levels. Differentiating XGP from prostate cancer (PCa) based solely on multiparametric MRI (mpMRI) findings remains challenging, as histopathological examination is the gold standard for definit",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09045
pmid:41907135,"State-of-the-Art Medical Imaging Supporting Supermicrosurgery: A Scoping Review, Practical Guidelines, and Illustrative Case Report.",PMID:41907135; DOI:10.1055/a-2798-0198,Archives of plastic surgery,2026,,,,,"In the era of supermicrosurgery, clinicians need more precise imaging modalities to know the exact microvascular and lymphatic anatomy of the patient. The goal of this review is to answer the research question ""What are the state-of-the-art medical imaging modalities supporting supermicrosurgery?"" This study is a scoping review and case report. Computed tomography angiography (CTA) and magnetic re",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09046
pmid:41908058,Arterial pulsation artifact mimicking spiked helmet sign: a case report.,PMID:41908058; DOI:10.3389/fcvm.2026.1648793,Frontiers in cardiovascular medicine,2026,,,,,"This case report presents an 86-year-old female patient admitted for the surgical evaluation of a mediastinal cystic mass. Initial electrocardiogram (ECG) showed ST-segment and T-wave changes resembling the spiked helmet sign. Considering the patient's stable vital signs and the absence of ST-segment changes in lead I, the possibility of ECG interference was suspected. Further investigation and re",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09047
pmid:41815656,Case Report: Chronic Olecranon Bursitis as a Risk Factor for Squamous Cell Carcinoma.,PMID:41815656; DOI:10.13107/jocr.2026.v16.i03.6922,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Chronic inflammatory conditions have previously been shown to lead to the development of cancer in humans. Olecranon bursitis (OB) has not yet been explicitly correlated to the development of squamous cell carcinoma and to our knowledge, this is the first case report documenting this possible association.<h4>Case report</h4>A 70-year-old male with a 12-year history of non-heal",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T063 Europe PMC; manifest=DL09048
pmid:41907272,Cardiac arrest caused by acute gastric dilatation in a bulimia patient: a case report.,PMID:41907272; DOI:10.3389/fmed.2026.1738665,Frontiers in medicine,2026,,,,,"This case report describes a young female patient with a long-standing history of bulimia nervosa a who developed acute gastric dilatation (AGD) following a binge-eating episode. The patient declined surgical intervention, leading to rapid clinical deterioration and cardiac arrest. Despite achieving return of spontaneous circulation (ROSC) after cardiopulmonary resuscitation (CPR), followed by eme",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09049
pmid:41623660,Case Report: Anlotinib for advanced chordoma.,PMID:41623660; DOI:10.3389/fonc.2026.1760330,Frontiers in oncology,2026,,,,,"Chordoma is a rare tumor with low to moderate malignancy. It is typically treated with surgical resection in the early stages. However, due to the slow growth and locally invasive biological characteristics of chordoma, patients are often diagnosed at an advanced stage, rendering them ineligible for surgery. This case report describes a 71-year-old male patient who experienced notable symptom reli",,,,,,,unknown,,yes,,cc by,metadata_only,T063 Europe PMC; manifest=DL09050
