openalex_id,pdf_path,txt_path,char_count,page_count,has_body,extract_error,source_url,source_domain_bucket,year,venue,source_batch,tags_modality,tags_method,topic_subtag,title
W2903530992,research_ops/cache/pdfs/T203_W2903530992.pdf,research_ops/parsed/pdfs/T203_W2903530992.txt,68815,30,yes,,https://arxiv.org/pdf/1812.02030,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Wireless Data Acquisition for Edge Learning: Data-Importance Aware Retransmission
W2903631665,research_ops/cache/pdfs/T203_W2903631665.pdf,research_ops/parsed/pdfs/T203_W2903631665.txt,36632,10,yes,,https://arxiv.org/pdf/1812.06378,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Efficient Super Resolution Using Binarized Neural Network
W2903669057,research_ops/cache/pdfs/T203_W2903669057.pdf,research_ops/parsed/pdfs/T203_W2903669057.txt,44639,10,yes,,https://arxiv.org/pdf/1812.02772,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Object Discovery in Videos as Foreground Motion Clustering
W2903684270,research_ops/cache/pdfs/T203_W2903684270.pdf,research_ops/parsed/pdfs/T203_W2903684270.txt,43032,12,yes,,https://arxiv.org/pdf/1812.04243,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Non-local Meets Global: An Integrated Paradigm for Hyperspectral Denoising
W2903779395,research_ops/cache/pdfs/T203_W2903779395.pdf,research_ops/parsed/pdfs/T203_W2903779395.txt,35805,9,yes,,https://arxiv.org/pdf/1812.04240,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Unsupervised Degradation Learning for Single Image Super-Resolution
W2903884424,research_ops/cache/pdfs/T203_W2903884424.pdf,research_ops/parsed/pdfs/T203_W2903884424.txt,253118,42,yes,,https://arxiv.org/pdf/1812.06821,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Survey on Unmanned Aerial Vehicle Networks: A Cyber Physical System Perspective
W2903886168,research_ops/cache/pdfs/T203_W2903886168.pdf,research_ops/parsed/pdfs/T203_W2903886168.txt,37612,9,yes,,https://arxiv.org/pdf/1812.02737,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,On Configurable Defense against Adversarial Example Attacks
W2903944050,research_ops/cache/pdfs/T203_W2903944050.pdf,research_ops/parsed/pdfs/T203_W2903944050.txt,53364,11,yes,,https://arxiv.org/pdf/1812.03111,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,SITUP: Scale Invariant Tracking using Average Peak-to-Correlation Energy
W2904021495,research_ops/cache/pdfs/T203_W2904021495.pdf,research_ops/parsed/pdfs/T203_W2904021495.txt,39562,9,yes,,https://arxiv.org/pdf/1812.03050,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Graph Cut Segmentation Methods Revisited with a Quantum Algorithm
W2904131599,research_ops/cache/pdfs/T203_W2904131599.pdf,research_ops/parsed/pdfs/T203_W2904131599.txt,39020,10,yes,,https://arxiv.org/pdf/1812.06264,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Hierarchical Discrete Distribution Decomposition for Match Density Estimation
W2904300281,research_ops/cache/pdfs/T203_W2904300281.pdf,research_ops/parsed/pdfs/T203_W2904300281.txt,33511,13,yes,,https://arxiv.org/pdf/1812.05941,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Context-encoding Variational Autoencoder for Unsupervised Anomaly Detection
W2904450144,research_ops/cache/pdfs/T203_W2904450144.pdf,research_ops/parsed/pdfs/T203_W2904450144.txt,53636,19,yes,,https://arxiv.org/pdf/1812.06672,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,A multi-layered energy consumption model for smart wireless acoustic sensor networks
W2904580001,research_ops/cache/pdfs/T203_W2904580001.pdf,research_ops/parsed/pdfs/T203_W2904580001.txt,65318,19,yes,,https://arxiv.org/pdf/1812.07169,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Explaining Neural Networks Semantically and Quantitatively
W2904837360,research_ops/cache/pdfs/T203_W2904837360.pdf,research_ops/parsed/pdfs/T203_W2904837360.txt,45636,18,yes,,https://arxiv.org/pdf/1812.02843,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Towards Hiding Adversarial Examples from Network Interpretation
W2904893058,research_ops/cache/pdfs/T203_W2904893058.pdf,research_ops/parsed/pdfs/T203_W2904893058.txt,57430,10,yes,,https://arxiv.org/pdf/1812.06625,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Semi-supervised mp-MRI Data Synthesis with StitchLayer and Auxiliary Distance Maximization
W2904900486,research_ops/cache/pdfs/T203_W2904900486.pdf,research_ops/parsed/pdfs/T203_W2904900486.txt,146149,24,yes,,https://arxiv.org/pdf/1812.04202,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Deep Learning on Graphs: A Survey
W2904944335,research_ops/cache/pdfs/T203_W2904944335.pdf,research_ops/parsed/pdfs/T203_W2904944335.txt,40403,10,yes,,https://arxiv.org/pdf/1812.08125,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Very Power Efficient Neural Time-of-Flight
W2905233044,research_ops/cache/pdfs/T203_W2905233044.pdf,research_ops/parsed/pdfs/T203_W2905233044.txt,63565,10,yes,,https://arxiv.org/pdf/1812.07907,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,PnP-AdaNet: Plug-and-Play Adversarial Domain Adaptation Network with a Benchmark at Cross-modality Cardiac Segmentation
W2905396958,research_ops/cache/pdfs/T203_W2905396958.pdf,research_ops/parsed/pdfs/T203_W2905396958.txt,55269,16,yes,,https://arxiv.org/pdf/1812.06847,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Convolutional herbal prescription building method from multi-scale facial features
W2905403397,research_ops/cache/pdfs/T203_W2905403397.pdf,research_ops/parsed/pdfs/T203_W2905403397.txt,67554,11,yes,,https://arxiv.org/pdf/1812.03224,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,A Hybrid Approach to Privacy-Preserving Federated Learning
W2905410527,research_ops/cache/pdfs/T203_W2905410527.pdf,research_ops/parsed/pdfs/T203_W2905410527.txt,25105,9,yes,,https://arxiv.org/pdf/1812.07832,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Semi-Supervised Deep Learning for Abnormality Classification in Retinal Images
W2905942620,research_ops/cache/pdfs/T203_W2905942620.pdf,research_ops/parsed/pdfs/T203_W2905942620.txt,25272,7,yes,,https://arxiv.org/pdf/1812.09477,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Fully Automatic Segmentation of Sublingual Veins from Retrained U-Net Model for Few Near Infrared Images
W2906177770,research_ops/cache/pdfs/T203_W2906177770.pdf,research_ops/parsed/pdfs/T203_W2906177770.txt,65208,13,yes,,https://arxiv.org/pdf/1812.09041,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,"A Multi-task Neural Approach for Emotion Attribution, Classification and Summarization"
W2906180100,research_ops/cache/pdfs/T203_W2906180100.pdf,research_ops/parsed/pdfs/T203_W2906180100.txt,75937,25,yes,,https://arxiv.org/pdf/1812.10404,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,clinical,"Machine learning and AI research for Patient Benefit: 20 Critical Questions on Transparency, Replicability, Ethics and Effectiveness"
W2906266202,research_ops/cache/pdfs/T203_W2906266202.pdf,research_ops/parsed/pdfs/T203_W2906266202.txt,163333,66,yes,,https://arxiv.org/pdf/1812.10422,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Machine Learning in Official Statistics
W2906335739,research_ops/cache/pdfs/T203_W2906335739.pdf,research_ops/parsed/pdfs/T203_W2906335739.txt,55748,34,yes,,https://arxiv.org/pdf/1812.10033,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,MMFNet: A Multi-modality MRI Fusion Network for Segmentation of Nasopharyngeal Carcinoma
W2907102004,research_ops/cache/pdfs/T203_W2907102004.pdf,research_ops/parsed/pdfs/T203_W2907102004.txt,19925,5,yes,,https://arxiv.org/pdf/1812.11204,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Class-Aware Adversarial Lung Nodule Synthesis in CT Images
W2907110952,research_ops/cache/pdfs/T203_W2907110952.pdf,research_ops/parsed/pdfs/T203_W2907110952.txt,73365,19,yes,,https://arxiv.org/pdf/1812.11647,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Path-Invariant Map Networks
W2907260076,research_ops/cache/pdfs/T203_W2907260076.pdf,research_ops/parsed/pdfs/T203_W2907260076.txt,81998,16,yes,,https://arxiv.org/pdf/1812.10477,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Residual Dense Network for Image Restoration
W2907407288,research_ops/cache/pdfs/T203_W2907407288.pdf,research_ops/parsed/pdfs/T203_W2907407288.txt,61190,14,yes,,https://arxiv.org/pdf/1812.11446,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Greedy Layerwise Learning Can Scale to ImageNet
W2908339748,research_ops/cache/pdfs/T203_W2908339748.pdf,research_ops/parsed/pdfs/T203_W2908339748.txt,42213,8,yes,,https://arxiv.org/pdf/1812.10924,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Improving the Interpretability of Deep Neural Networks with Knowledge Distillation
W2908356592,research_ops/cache/pdfs/T203_W2908356592.pdf,research_ops/parsed/pdfs/T203_W2908356592.txt,95482,18,yes,,https://arxiv.org/pdf/1812.11004,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Hierarchical LSTMs with Adaptive Attention for Visual Captioning
W2909279994,research_ops/cache/pdfs/T203_W2909279994.pdf,research_ops/parsed/pdfs/T203_W2909279994.txt,16607,4,yes,,https://arxiv.org/pdf/1901.05876,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Residual Attention based Network for Hand Bone Age Assessment
W2937153323,research_ops/cache/pdfs/T203_W2937153323.pdf,research_ops/parsed/pdfs/T203_W2937153323.txt,52851,15,yes,,https://arxiv.org/pdf/1812.05262,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,ELASTIC: Improving CNNs with Dynamic Scaling Policies
W2945847948,research_ops/cache/pdfs/T203_W2945847948.pdf,research_ops/parsed/pdfs/T203_W2945847948.txt,140459,53,yes,,https://arxiv.org/pdf/2012.10790,arxiv,2020,arXiv (Cornell University),T180_arxiv2020_medimg,preprint_broad,deep_learning,other_preprint,Achieving Reliable Causal Inference with Data-Mined Variables: A Random Forest Approach to the Measurement Error Problem
W2949140315,research_ops/cache/pdfs/T203_W2949140315.pdf,research_ops/parsed/pdfs/T203_W2949140315.txt,25589,9,yes,,https://arxiv.org/pdf/1812.04652,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Evaluating the Impact of Intensity Normalization on MR Image Synthesis
W2949159381,research_ops/cache/pdfs/T203_W2949159381.pdf,research_ops/parsed/pdfs/T203_W2949159381.txt,37492,7,yes,,https://arxiv.org/pdf/1812.02793,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Generation of Synthetic Electronic Medical Record Text
W2949271836,research_ops/cache/pdfs/T203_W2949271836.pdf,research_ops/parsed/pdfs/T203_W2949271836.txt,53790,12,yes,,https://arxiv.org/pdf/1906.08365,arxiv,2020,IEEE Transactions on Medical Imaging,T180_TMI_2020_venue,medical_imaging,deep_learning,,Hierarchical Extraction of Functional Connectivity Components in Human Brain Using Resting-State fMRI
W2949308370,research_ops/cache/pdfs/T203_W2949308370.pdf,research_ops/parsed/pdfs/T203_W2949308370.txt,47516,11,yes,,https://arxiv.org/pdf/1812.04246,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Classification-Reconstruction Learning for Open-Set Recognition
W2949426950,research_ops/cache/pdfs/T203_W2949426950.pdf,research_ops/parsed/pdfs/T203_W2949426950.txt,31961,7,yes,,https://arxiv.org/pdf/1812.07764,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,clinical,CNN based Multi-Instance Multi-Task Learning for Syndrome Differentiation of Diabetic Patients
W2949492383,research_ops/cache/pdfs/T203_W2949492383.pdf,research_ops/parsed/pdfs/T203_W2949492383.txt,41204,10,yes,,https://arxiv.org/pdf/1812.01519,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,SurfConv: Bridging 3D and 2D Convolution for RGBD Images
W2949606544,research_ops/cache/pdfs/T203_W2949606544.pdf,research_ops/parsed/pdfs/T203_W2949606544.txt,37529,10,yes,,https://arxiv.org/pdf/1812.04821,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Efficient Super Resolution For Large-Scale Images Using Attentional GAN
W2950130267,research_ops/cache/pdfs/T203_W2950130267.pdf,research_ops/parsed/pdfs/T203_W2950130267.txt,48919,12,yes,,https://arxiv.org/pdf/1812.07122,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Embedding Bilateral Filter in Least Squares for Efficient Edge-preserving Image Smoothing
W2950671920,research_ops/cache/pdfs/T203_W2950671920.pdf,research_ops/parsed/pdfs/T203_W2950671920.txt,26270,10,yes,,https://arxiv.org/pdf/1812.01049,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Brain Tumor Segmentation using an Ensemble of 3D U-Nets and Overall Survival Prediction using Radiomic Features
W2950939245,research_ops/cache/pdfs/T203_W2950939245.pdf,research_ops/parsed/pdfs/T203_W2950939245.txt,22844,6,yes,,https://arxiv.org/pdf/1812.08367,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,2.5D Deep Learning for CT Image Reconstruction using a Multi-GPU implementation
W2951483187,research_ops/cache/pdfs/T203_W2951483187.pdf,research_ops/parsed/pdfs/T203_W2951483187.txt,19742,5,yes,,https://arxiv.org/pdf/1812.00510,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,JSR-Net: A Deep Network for Joint Spatial-Radon Domain CT Reconstruction from incomplete data
W2951548452,research_ops/cache/pdfs/T203_W2951548452.pdf,research_ops/parsed/pdfs/T203_W2951548452.txt,43302,11,yes,,https://arxiv.org/pdf/1812.02288,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Adversarially Learned Anomaly Detection
W2951924561,research_ops/cache/pdfs/T203_W2951924561.pdf,research_ops/parsed/pdfs/T203_W2951924561.txt,49754,10,yes,,https://arxiv.org/pdf/1906.05360,arxiv,2019,IEEE Transactions on Medical Imaging,T181_TMI_2019_venue,medical_imaging,deep_learning,,GANPOP: Generative Adversarial Network Prediction of Optical Properties From Single Snapshot Wide-Field Images
W2951930671,research_ops/cache/pdfs/T203_W2951930671.pdf,research_ops/parsed/pdfs/T203_W2951930671.txt,43849,8,yes,,https://arxiv.org/pdf/1812.10818,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Classification of radiology reports by modality and anatomy: A comparative study
W2952384945,research_ops/cache/pdfs/T203_W2952384945.pdf,research_ops/parsed/pdfs/T203_W2952384945.txt,13722,7,yes,,https://arxiv.org/pdf/1812.01859,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Enhancing Label-Driven Deep Deformable Image Registration with Local Distance Metrics for State-of-the-Art Cardiac Motion Tracking
W2952475063,research_ops/cache/pdfs/T203_W2952475063.pdf,research_ops/parsed/pdfs/T203_W2952475063.txt,38910,9,yes,,https://arxiv.org/pdf/1812.06367,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Action Quality Assessment Across Multiple Actions
W2952648170,research_ops/cache/pdfs/T203_W2952648170.pdf,research_ops/parsed/pdfs/T203_W2952648170.txt,75756,18,yes,,https://arxiv.org/pdf/1812.05155,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Synthesis of High-Quality Visible Faces from Polarimetric Thermal Faces using Generative Adversarial Networks
W2952738336,research_ops/cache/pdfs/T203_W2952738336.pdf,research_ops/parsed/pdfs/T203_W2952738336.txt,193210,86,yes,,https://arxiv.org/pdf/1812.08577,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Computational Anatomy for Multi-Organ Analysis in Medical Imaging: A Review
W2953497844,research_ops/cache/pdfs/T203_W2953497844.pdf,research_ops/parsed/pdfs/T203_W2953497844.txt,63407,11,yes,,https://arxiv.org/pdf/1812.11006,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,TOP-GAN: Label-Free Cancer Cell Classification Using Deep Learning with a Small Training Set
W2955094052,research_ops/cache/pdfs/T203_W2955094052.pdf,research_ops/parsed/pdfs/T203_W2955094052.txt,49374,10,yes,,https://arxiv.org/pdf/1812.00725,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,CRAVES: Controlling Robotic Arm with a Vision-based Economic System
W2955246348,research_ops/cache/pdfs/T203_W2955246348.pdf,research_ops/parsed/pdfs/T203_W2955246348.txt,42136,16,yes,,https://arxiv.org/pdf/1812.04072,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,PlaneRCNN: 3D Plane Detection and Reconstruction from a Single Image
W2979612622,research_ops/cache/pdfs/T203_W2979612622.pdf,research_ops/parsed/pdfs/T203_W2979612622.txt,77591,15,yes,,https://arxiv.org/pdf/1812.10113,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Privacy-Preserving Collaborative Deep Learning with Unreliable Participants
W2986088889,research_ops/cache/pdfs/T203_W2986088889.pdf,research_ops/parsed/pdfs/T203_W2986088889.txt,48175,14,yes,,https://arxiv.org/pdf/1911.07731,arxiv,2019,IEEE Transactions on Medical Imaging,T181_TMI_2019_venue,medical_imaging,deep_learning,,Multi-Modal Deep Guided Filtering for Comprehensible Medical Image Processing
W2989771576,research_ops/cache/pdfs/T203_W2989771576.pdf,research_ops/parsed/pdfs/T203_W2989771576.txt,52188,10,yes,,https://arxiv.org/pdf/1912.00512,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,Knowledge Infused Learning (K-IL): Towards Deep Incorporation of Knowledge in Deep Learning
W2990570599,research_ops/cache/pdfs/T203_W2990570599.pdf,research_ops/parsed/pdfs/T203_W2990570599.txt,47162,13,yes,,https://arxiv.org/pdf/1902.09657,arxiv,2019,IEEE Transactions on Medical Imaging,T181_TMI_2019_venue,medical_imaging,deep_learning,,Accelerating Non-Cartesian MRI Reconstruction Convergence Using k-Space Preconditioning
W2991805753,research_ops/cache/pdfs/T203_W2991805753.pdf,research_ops/parsed/pdfs/T203_W2991805753.txt,19230,8,yes,,https://arxiv.org/pdf/1912.02417,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,imaging,OASIS: One-pass aligned Atlas Set for Image Segmentation
W2992221041,research_ops/cache/pdfs/T203_W2992221041.pdf,research_ops/parsed/pdfs/T203_W2992221041.txt,46344,10,yes,,https://arxiv.org/pdf/1912.03383,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,imaging,Deep Distance Transform for Tubular Structure Segmentation in CT Scans
W2992768826,research_ops/cache/pdfs/T203_W2992768826.pdf,research_ops/parsed/pdfs/T203_W2992768826.txt,58321,30,yes,,https://arxiv.org/pdf/1912.01197,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,Structure Learning with Similarity Preserving
W2993780643,research_ops/cache/pdfs/T203_W2993780643.pdf,research_ops/parsed/pdfs/T203_W2993780643.txt,22091,6,yes,,https://arxiv.org/pdf/1912.03880,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,Video Motion Capture from the Part Confidence Maps of Multi-Camera Images by Spatiotemporal Filtering Using the Human Skeletal Model
W2994234817,research_ops/cache/pdfs/T203_W2994234817.pdf,research_ops/parsed/pdfs/T203_W2994234817.txt,26715,6,yes,,https://arxiv.org/pdf/1912.01824,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,imaging,Efficient feature embedding of 3D brain MRI images for content-based image retrieval with deep metric learning
W2994523130,research_ops/cache/pdfs/T203_W2994523130.pdf,research_ops/parsed/pdfs/T203_W2994523130.txt,59824,12,yes,,https://arxiv.org/pdf/1912.04016,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,Deep Neural Network for Fast and Accurate Single Image Super-Resolution via Channel-Attention-based Fusion of Orientation-aware Features
W2994644303,research_ops/cache/pdfs/T203_W2994644303.pdf,research_ops/parsed/pdfs/T203_W2994644303.txt,27676,20,yes,,https://arxiv.org/pdf/1912.09621,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,Understanding Deep Neural Network Predictions for Medical Imaging Applications
W2994775438,research_ops/cache/pdfs/T203_W2994775438.pdf,research_ops/parsed/pdfs/T203_W2994775438.txt,56309,13,yes,,https://arxiv.org/pdf/1912.08364,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,imaging,Learning to Segment Brain Anatomy from 2D Ultrasound with Less Data
W2994779383,research_ops/cache/pdfs/T203_W2994779383.pdf,research_ops/parsed/pdfs/T203_W2994779383.txt,59273,25,yes,,https://arxiv.org/pdf/1912.06649,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,A Novel Automation-Assisted Cervical Cancer Reading Method Based on Convolutional Neural Network
W2994795100,research_ops/cache/pdfs/T203_W2994795100.pdf,research_ops/parsed/pdfs/T203_W2994795100.txt,40803,12,yes,,https://arxiv.org/pdf/1912.10481,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,other_preprint,A Systematic Comparison of Bayesian Deep Learning Robustness in Diabetic Retinopathy Tasks
W2994898281,research_ops/cache/pdfs/T203_W2994898281.pdf,research_ops/parsed/pdfs/T203_W2994898281.txt,46752,10,yes,,https://arxiv.org/pdf/1912.09628,arxiv,2019,arXiv (Cornell University),T181_arxiv2019_medimg,preprint_broad,deep_learning,imaging,C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation
