audit_id,paper_id,repo_url,repro_status,green_yellow_red,blockers,notes,read_priority
RA0024,openalex:W7134127382,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0025,openalex:W7134201244,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0026,openalex:W7134887469,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0027,openalex:W7134918073,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0028,openalex:W7134925414,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0029,openalex:W7134935494,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0030,openalex:W7134944726,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0031,openalex:W7134965559,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0032,openalex:W7134965712,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0033,openalex:W7135061954,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0034,openalex:W7135070057,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0035,openalex:W7135230477,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0036,openalex:W7135416061,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0037,openalex:W7138001366,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0038,openalex:W7138528703,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0039,openalex:W7139037145,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0040,openalex:W7139981065,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0041,openalex:W7140114233,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0042,openalex:W4361298490,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0043,openalex:W4367041201,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0044,openalex:W4381480589,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0045,openalex:W4390919221,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0046,openalex:W4390937667,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0047,openalex:W4391050822,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0048,openalex:W4391100658,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0049,openalex:W4391324500,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0050,openalex:W4391616800,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
