openalex_id,html_path,char_count,year,venue,source_batch,tags_modality,tags_method,title
W4412752329,research_ops/cache/fulltext/T202_W4412752329.html,15602,2025,Radiology Artificial Intelligence,T171_Radiology_AI_2025_venue_slice,clinical_imaging|radiology,computational_biomedicine|deep_learning|foundation_models,Optimizing Federated Learning Configurations for MRI Prostate Segmentation and Cancer Detection: A Simulation Study
W4413822390,research_ops/cache/fulltext/T202_W4413822390.html,828,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,Bayesian Framework for Atrial LAT Estimation in ECGI
W4413952985,research_ops/cache/fulltext/T202_W4413952985.html,1269922,2025,Radiology Artificial Intelligence,T171_Radiology_AI_2025_venue_slice,clinical_imaging|radiology,computational_biomedicine|deep_learning|foundation_models,Using Explainable AI to Characterize Features in the Mirai Mammographic Breast Cancer Risk Prediction Model
W4413967162,research_ops/cache/fulltext/T202_W4413967162.html,889,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,CINeMA: Conditional Implicit Neural Multi-Modal Atlas for a Spatio-Temporal Representation of the Perinatal Brain
W4414452596,research_ops/cache/fulltext/T202_W4414452596.html,70764,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,Data-Driven System Matrix Manipulation Enabling Fast Functional Imaging in Tomography
W4414563911,research_ops/cache/fulltext/T202_W4414563911.html,4092555,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,Conditional Virtual Imaging for Few-Shot Vascular Image Segmentation
W4414799040,research_ops/cache/fulltext/T202_W4414799040.html,73909,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,dFCExpert: Learning Dynamic Functional Connectivity Patterns With Modularity and State Experts
W4414856624,research_ops/cache/fulltext/T202_W4414856624.html,65656,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,LeqMod: Adaptable Lesion-Quantification-Consistent Modulation for Deep Learning Low-Count PET Image Denoising
W4415045980,research_ops/cache/fulltext/T202_W4415045980.html,8909,2025,Nature Computational Science,T171_NatComputSci_2025_venue_slice,machine_learning,deep_learning|foundation_models,Trials for computational psychiatry
W4415124216,research_ops/cache/fulltext/T202_W4415124216.html,8159635,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,PET Head Motion Estimation Using Supervised Deep Learning With Attention
W4415380213,research_ops/cache/fulltext/T202_W4415380213.html,82096,2025,Nature Machine Intelligence,T171_NatMachIntell_2025_venue_slice,machine_learning,deep_learning|foundation_models|agents,Predicting the conformational flexibility of antibody and T cell receptor complementarity-determining regions
W4415871453,research_ops/cache/fulltext/T202_W4415871453.html,384928,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Policy Transfer for Continuous-Time Reinforcement Learning: A (Rough) Differential Equation Approach
W4415882901,research_ops/cache/fulltext/T202_W4415882901.html,2820544,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Bayesian Inference for PDE-based Inverse Problems using the Optimization of a Discrete Loss
W4415918858,research_ops/cache/fulltext/T202_W4415918858.html,1910275,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,CASR-Net: An Image Processing-focused Deep Learning-based Coronary Artery Segmentation and Refinement Network for X-ray Coronary Angiogram
W4415918863,research_ops/cache/fulltext/T202_W4415918863.html,2843839,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,MedM2T: A MultiModal Framework for Time-Aware Modeling with Electronic Health Record and Electrocardiogram Data
W4415945335,research_ops/cache/fulltext/T202_W4415945335.html,1111973,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Weakly Supervised Concept Learning with Class-Level Priors for Interpretable Medical Diagnosis
W4415950431,research_ops/cache/fulltext/T202_W4415950431.html,1241387,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Personalized Collaborative Learning with Affinity-Based Variance Reduction
W4415955191,research_ops/cache/fulltext/T202_W4415955191.html,37148,2025,Nature Machine Intelligence,T171_NatMachIntell_2025_venue_slice,machine_learning,deep_learning|foundation_models|agents,Emulating human-like adaptive vision for efficient and flexible machine visual perception
W4415955458,research_ops/cache/fulltext/T202_W4415955458.html,873526,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Escaping Model Collapse via Synthetic Data Verification: Near-term Improvements and Long-term Convergence
W4415966290,research_ops/cache/fulltext/T202_W4415966290.html,682353,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Muscle Anatomy-aware Geometric Deep Learning for sEMG-based Gesture Decoding
W4416023861,research_ops/cache/fulltext/T202_W4416023861.html,1240331,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,T-FIX: Text-Based Explanations with Features Interpretable to eXperts
W4416054689,research_ops/cache/fulltext/T202_W4416054689.html,3776274,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,NeuCo-Bench: A Novel Benchmark Framework for Neural Embeddings in Earth Observation
W4416057997,research_ops/cache/fulltext/T202_W4416057997.html,1133966,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Study of Training Dynamics for Memory-Constrained Fine-Tuning
W4416157504,research_ops/cache/fulltext/T202_W4416157504.html,235702,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Metabolic quantum limit to the information capacity of magnetoencephalography
W4416187905,research_ops/cache/fulltext/T202_W4416187905.html,1243391,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Resource Allocation in Hybrid Radio-Optical IoT Networks using GNN with Multi-task Learning
W4416189556,research_ops/cache/fulltext/T202_W4416189556.html,407870,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,A Closed-Form Framework for Schrödinger Bridges Between Arbitrary Densities
W4416191160,research_ops/cache/fulltext/T202_W4416191160.html,3033206,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Generative AI Meets 6G and Beyond: Diffusion Models for Semantic Communications
W4416221490,research_ops/cache/fulltext/T202_W4416221490.html,139345,2025,Nature Medicine,T171_NatMed_2025_venue_slice,clinical_translational,computational_biomedicine|foundation_models,Microbial signals in primary and metastatic brain tumors
W4416237188,research_ops/cache/fulltext/T202_W4416237188.html,1861369,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Explainable Cross-Disease Reasoning for Cardiovascular Risk Assessment from Low-Dose Computed Tomography
W4416241959,research_ops/cache/fulltext/T202_W4416241959.html,7836974,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,3DFETUS: Deep Learning-Based Standardization of Facial Planes in 3D Ultrasound
W4416335567,research_ops/cache/fulltext/T202_W4416335567.html,954931,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Dynamic LRP-Based Pruning for CNNs in Data-Scarce Transfer Learning: Suppressing Cascading Accuracy Degradation
W4416351165,research_ops/cache/fulltext/T202_W4416351165.html,126008,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,MedPT: A Massive Medical Question Answering Dataset for Brazilian-Portuguese Speakers
W4416354446,research_ops/cache/fulltext/T202_W4416354446.html,338837,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Patient-Aware Multimodal RGB-HSI Fusion via Incremental Heuristic Meta-Learning for Oral Lesion Classification
W4416364277,research_ops/cache/fulltext/T202_W4416364277.html,54624,2025,Radiology Artificial Intelligence,T171_Radiology_AI_2025_venue_slice,clinical_imaging|radiology,computational_biomedicine|deep_learning|foundation_models,US-derived Pediatric Kidney Length and Volume Percentiles by Age: A Big Data Approach
W4416388594,research_ops/cache/fulltext/T202_W4416388594.html,85686,2025,Nature Machine Intelligence,T171_NatMachIntell_2025_venue_slice,machine_learning,deep_learning|foundation_models|agents,Solving sparse finite element problems on neuromorphic hardware
W4416454755,research_ops/cache/fulltext/T202_W4416454755.html,486448,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Tight Robustness Certification Through the Convex Hull of $\ell_0$ Attacks
W4416599757,research_ops/cache/fulltext/T202_W4416599757.html,70761,2025,Nature Medicine,T171_NatMed_2025_venue_slice,clinical_translational,computational_biomedicine|foundation_models,A therapeutic peptide vaccine for fibrolamellar hepatocellular carcinoma: a phase 1 trial
W4416714871,research_ops/cache/fulltext/T202_W4416714871.html,1019145,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Algorithms Trained on Normal Chest X-rays Can Predict Health Insurance Types
W4416763521,research_ops/cache/fulltext/T202_W4416763521.html,1593778,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,DBGroup: Dual-Branch Point Grouping for Weakly Supervised 3D Semantic Instance Segmentation
W4416763601,research_ops/cache/fulltext/T202_W4416763601.html,5077342,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Adaptive Laser Beam Engineering with Coherent Beam Combining for Efficient Power Delivery
W4416765768,research_ops/cache/fulltext/T202_W4416765768.html,241253,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Multiscale Vector-Quantized Variational Autoencoder for Endoscopic Image Synthesis
W4416770193,research_ops/cache/fulltext/T202_W4416770193.html,2983600,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Explainable Visual Anomaly Detection via Concept Bottleneck Models
W4416782209,research_ops/cache/fulltext/T202_W4416782209.html,132527,2025,Nature Medicine,T171_NatMed_2025_venue_slice,clinical_translational,computational_biomedicine|foundation_models,Targeting of HIF2-driven cachexia in kidney cancer
W4416785371,research_ops/cache/fulltext/T202_W4416785371.html,2166415,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Data Exfiltration by Compression Attack: Definition and Evaluation on Medical Image Data
W4416786427,research_ops/cache/fulltext/T202_W4416786427.html,5076354,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,A physics-informed U-Net-LSTM network for nonlinear structural response under seismic excitation
W4416790861,research_ops/cache/fulltext/T202_W4416790861.html,6083,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Self-Paced Learning for Images of Antinuclear Antibodies
W4416966054,research_ops/cache/fulltext/T202_W4416966054.html,1372688,2025,arXiv (Cornell University),T172_arxiv_2025_clinical_large_langu,preprint_broad,deep_learning|foundation_models,A Linear Expectation Constraint for Selective Prediction and Routing with False-Discovery Control
W4416967225,research_ops/cache/fulltext/T202_W4416967225.html,1363305,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Evaluating SAM2 for Video Semantic Segmentation
W4416967337,research_ops/cache/fulltext/T202_W4416967337.html,1312041,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Mitigating Gender Bias in Depression Detection via Counterfactual Inference
W4417008184,research_ops/cache/fulltext/T202_W4417008184.html,1476430,2025,arXiv (Cornell University),T172_arxiv_2025_clinical_large_langu,preprint_broad,deep_learning|foundation_models,From Panel to Pixel: Zoom-In Vision-Language Pretraining from Biomedical Scientific Literature
W4417010030,research_ops/cache/fulltext/T202_W4417010030.html,882371,2025,arXiv (Cornell University),T172_arxiv_2025_medical_imaging_deep,preprint_broad,deep_learning|foundation_models,Position-Sensitive Silicon Photomultiplier Array with Enhanced Position Reconstruction by means of a Deep Neural Network
W2789400297,research_ops/cache/fulltext/T203_W2789400297.html,96980,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Connectome smoothing via low-rank approximations
W2901771684,research_ops/cache/fulltext/T203_W2901771684.html,8701,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Optimal Dual-VENC Unwrapping in Phase-Contrast MRI
W2902326134,research_ops/cache/fulltext/T203_W2902326134.html,73886,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,A Mechanical Approach for Smooth Surface Fitting to Delineate Vessel Walls in Optical Coherence Tomography Images
W2902358780,research_ops/cache/fulltext/T203_W2902358780.html,43120,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,Autologous Blood Patch Injection versus Hydrogel Plug in CT-guided Lung Biopsy: A Prospective Randomized Trial
W2902409742,research_ops/cache/fulltext/T203_W2902409742.html,51563,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Spatial and Temporal Heterogeneities of Capillary Hemodynamics and Its Functional Coupling During Neural Activation
W2902429977,research_ops/cache/fulltext/T203_W2902429977.html,58483,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,Detection of Colorectal Hepatic Metastases Is Superior at Standard Radiation Dose CT versus Reduced Dose CT
W2902695296,research_ops/cache/fulltext/T203_W2902695296.html,51933,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,A Generalized Structured Low-Rank Matrix Completion Algorithm for MR Image Recovery
W2902972690,research_ops/cache/fulltext/T203_W2902972690.html,62374,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Hyperspectral Tissue Image Segmentation Using Semi-Supervised NMF and Hierarchical Clustering
W2903247890,research_ops/cache/fulltext/T203_W2903247890.html,53715,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,Interreader Variability of Dynamic Contrast-enhanced MRI of Recurrent Glioblastoma: The Multicenter ACRIN 6677/RTOG 0625 Study
W2903356598,research_ops/cache/fulltext/T203_W2903356598.html,72594,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,3D Auto-Context-Based Locality Adaptive Multi-Modality GANs for PET Synthesis
W2903408278,research_ops/cache/fulltext/T203_W2903408278.html,55806,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,The RSNA Pediatric Bone Age Machine Learning Challenge
W2903659349,research_ops/cache/fulltext/T203_W2903659349.html,847,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,SEGUE: A Speedy rEgion-Growing Algorithm for Unwrapping Estimated Phase
W2903836654,research_ops/cache/fulltext/T203_W2903836654.html,55772,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Toward Electrical Impedance Tomography Coupled Ultrasound Imaging for Assessing Muscle Health
W2904004553,research_ops/cache/fulltext/T203_W2904004553.html,3992,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,Impact of Digital Mammography on Cancer Detection and Recall Rates: 11.3 Million Screening Episodes in the English National Health Service Breast Cancer Screening Program
W2904076948,research_ops/cache/fulltext/T203_W2904076948.html,66097,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Personalized Models for Injected Activity Levels in SPECT Myocardial Perfusion Imaging
W2904258904,research_ops/cache/fulltext/T203_W2904258904.html,67310,2018,Radiology,T183_Radiology_2018_venue,clinical_imaging|radiology,deep_learning,Perinodular and Intranodular Radiomic Features on Lung CT Images Distinguish Adenocarcinomas from Granulomas
W2904307301,research_ops/cache/fulltext/T203_W2904307301.html,67758,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,Flexible Locally Weighted Penalized Regression With Applications on Prediction of Alzheimer’s Disease Neuroimaging Initiative’s Clinical Scores
W2904574677,research_ops/cache/fulltext/T203_W2904574677.html,45982,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,"DukeSim: A Realistic, Rapid, and Scanner-Specific Simulation Framework in Computed Tomography"
W2904657988,research_ops/cache/fulltext/T203_W2904657988.html,10802,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,"PET Reconstruction of the Posterior Image Probability, Including Multimodal Images"
W2906587342,research_ops/cache/fulltext/T203_W2906587342.html,57171,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,PET Image Reconstruction Using Deep Image Prior
W2907345387,research_ops/cache/fulltext/T203_W2907345387.html,64025,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,"Design and Demonstration of a Configurable Imaging Platform for Combined Laser, Ultrasound, and Elasticity Imaging"
W2911436281,research_ops/cache/fulltext/T203_W2911436281.html,57134,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Challenges Related to Artificial Intelligence Research in Medical Imaging and the Importance of Image Analysis Competitions
W2912504222,research_ops/cache/fulltext/T203_W2912504222.html,40528,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Binomial Classification of Pediatric Elbow Fractures Using a Deep Learning Multiview Approach Emulating Radiologist Decision Making
W2912558669,research_ops/cache/fulltext/T203_W2912558669.html,38677,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Convolutional Neural Networks for Automated Fracture Detection and Localization on Wrist Radiographs
W2913347479,research_ops/cache/fulltext/T203_W2913347479.html,45646,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Combination of Active Transfer Learning and Natural Language Processing to Improve Liver Volumetry Using Surrogate Metrics with Deep Learning
W2914203365,research_ops/cache/fulltext/T203_W2914203365.html,56754,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Augmenting the National Institutes of Health Chest Radiograph Dataset with Expert Annotations of Possible Pneumonia
W2920064961,research_ops/cache/fulltext/T203_W2920064961.html,39210,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Quantitative Analysis of Neural Foramina in the Lumbar Spine: An Imaging Informatics and Machine Learning Study
W2921682280,research_ops/cache/fulltext/T203_W2921682280.html,57939,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Deep Learning for Automated Segmentation of Liver Lesions at CT in Patients with Colorectal Cancer Liver Metastases
W2922744444,research_ops/cache/fulltext/T203_W2922744444.html,70442,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Automated CT and MRI Liver Segmentation and Biometry Using a Generalized Convolutional Neural Network
W2924086752,research_ops/cache/fulltext/T203_W2924086752.html,61052,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Combination of Peri- and Intratumoral Radiomic Features on Baseline CT Scans Predicts Response to Chemotherapy in Lung Adenocarcinoma
W2924210222,research_ops/cache/fulltext/T203_W2924210222.html,36772,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Fostering a Healthy AI Ecosystem for Radiology: Conclusions of the 2018 RSNA Summit on AI in Radiology
W2944480979,research_ops/cache/fulltext/T203_W2944480979.html,59346,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Fully Automated Diagnosis of Anterior Cruciate Ligament Tears on Knee MR Images by Using Deep Learning
W2947133465,research_ops/cache/fulltext/T203_W2947133465.html,35108,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Detection and Classification of Myocardial Delayed Enhancement Patterns on MR Images with Deep Neural Networks: A Feasibility Study
W2947167326,research_ops/cache/fulltext/T203_W2947167326.html,43909,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Evaluating a Fully Automated Pulmonary Nodule Detection Approach and Its Impact on Radiologist Performance
W2958985742,research_ops/cache/fulltext/T203_W2958985742.html,59184,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Radiomics Model to Predict Early Progression of Nonmetastatic Nasopharyngeal Carcinoma after Intensity Modulation Radiation Therapy: A Multicenter Study
W2962271578,research_ops/cache/fulltext/T203_W2962271578.html,51204,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Implementation and Validation of a Three-dimensional Cardiac Motion Estimation Network
W2964273253,research_ops/cache/fulltext/T203_W2964273253.html,50972,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Urinary Stone Detection on CT Images Using Deep Convolutional Neural Networks: Evaluation of Model Performance and Generalization
W2964296115,research_ops/cache/fulltext/T203_W2964296115.html,72746,2019,IEEE Transactions on Medical Imaging,T181_TMI_2019_venue,medical_imaging,deep_learning,Quadratic Autoencoder (Q-AE) for Low-Dose CT Denoising
W2964669888,research_ops/cache/fulltext/T203_W2964669888.html,36409,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Automated Organ-Level Classification of Free-Text Pathology Reports to Support a Radiology Follow-up Tracking Engine
W2966665347,research_ops/cache/fulltext/T203_W2966665347.html,64676,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,Improving Accuracy and Efficiency with Concurrent Use of Artificial Intelligence for Digital Breast Tomosynthesis
W2975166250,research_ops/cache/fulltext/T203_W2975166250.html,15807,2019,Radiology Artificial Intelligence,T181_Radiology_AI_2019_venue,clinical_imaging|radiology,deep_learning,From Code to Bedside: Introducing Predictive Intelligence to Interventional Oncology
W2983323658,research_ops/cache/fulltext/T203_W2983323658.html,97333,2019,Medical Image Analysis,T181_MedIA_2019_venue,medical_imaging,deep_learning,Hierarchical Bayesian myocardial perfusion quantification
W2985053749,research_ops/cache/fulltext/T203_W2985053749.html,86487,2019,Medical Image Analysis,T181_MedIA_2019_venue,medical_imaging,deep_learning,Atrial scar quantification via multi-scale CNN in the graph-cuts framework
W2988187203,research_ops/cache/fulltext/T203_W2988187203.html,11438,2019,IEEE Transactions on Medical Imaging,T181_TMI_2019_venue,medical_imaging,deep_learning,Progressively Trained Convolutional Neural Networks for Deformable Image Registration
W2989692526,research_ops/cache/fulltext/T203_W2989692526.html,56394,2019,Medical Image Analysis,T181_MedIA_2019_venue,medical_imaging,deep_learning,Uncertainty and interpretability in convolutional neural networks for semantic segmentation of colorectal polyps
