challenge_id,name,task,dataset_refs,status,metric,url,organizer,notes,lifecycle_bucket
gc:EMPIRE10,EMPIRE10,Challenge for intra-subject registration of chest CT images.,,CLOSED,,https://empire10.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/EMPIRE10/; publications=https://doi.org/10.1109/tmi.2011.2158349,ended
gc:LUMIC,LUMIC,"The LUMIC challenge tests the accuracy in registration between pre- and post-contrast CT chest images for algorithms, using an anthropomophic digital phantom.",,CLOSED,,https://lumic.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/LUMIC/; publications=,ended
gc:continuousregistration,Continuous Registration,"Submit your method for lung and brain registration on https://github.com/SuperElastix/SuperElastix! Your method is easily accessible to end-users and automatically compiled, tested, and benchmarked we...",,CLOSED,,https://continuousregistration.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/continuousregistration/; publications=,ended
gc:drive,DRIVE,Develop a system to automatically segment vessels in human retina fundus images.,,OPEN,,https://drive.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/drive/; publications=,active
gc:curious2018,CuRIOUS 2018,MICCAI Challenge 2018 for Correction of Brainshift with Intra-Operative Ultrasound,,CLOSED,,https://curious2018.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/curious2018/; publications=https://doi.org/10.1109/tmi.2019.2935060,ended
gc:REFUGE,REFUGE,The goal of the Retinal Fundus Glaucoma Challenge (REFUGE) is to evaluate and compare automated algorithms for glaucoma detection and optic disc/cup segmentation on a common dataset of retinal fundus ...,,OPEN,,https://refuge.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/REFUGE/; publications=,active
gc:MoNuSeg,MoNuSeg,MICCAI 2018 challenge for Multi-organ nuclei segmentation from H&E stained histopathological images.,,CLOSED,,https://monuseg.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/MoNuSeg/; publications=,ended
gc:PAVES,PAVES,Peripheral Artery:Vein Enhanced Segmentation (PAVES) is the challenge focussed on providing easily interpretable and relevant images that can be readily understood by clinicians (vascular intervention...,,CLOSED,,https://paves.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/PAVES/; publications=,ended
gc:PROSTATEx,PROSTATEx,Classification of clinical significance of prostate lesions using multi-parametric MRI data,,COMPLETED,,https://prostatex.grand-challenge.org/,Grand Challenge,lifecycle_bucket=unknown; api=https://grand-challenge.org/api/v1/challenges/PROSTATEx/; publications=,unknown
gc:HC18,HC18,Automated measurement of fetal head circumference using 2D ultrasound images,,OPEN,,https://hc18.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/HC18/; publications=,active
gc:ANHIR,ANHIR,The challenge focuses on comparing the accuracy (using manually annotated landmarks) and the approximate speed of automatic non-linear registration methods for aligning microscopy images of multi-stai...,,OPEN,,https://anhir.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/ANHIR/; publications=https://doi.org/10.1109/tmi.2020.2986331,active
gc:BreastPathQ,BreastPathQ: Cancer Cellularity Challenge 2019,SPIE-AAPM-NCI BreastPathQ:Cancer Circularity Challenge 2019: Participants will be tasked to develop an automated method for analyzing histology patches extracted from whole slide images and assign a s...,,OPEN,,https://breastpathq.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/BreastPathQ/; publications=https://doi.org/10.1117/1.jmi.8.3.034501,active
gc:CHAOS,CHAOS,"In this challenge, you segment the liver in CT data, and segment liver, spleen, and kidneys in MRI data.",,OPEN,,https://chaos.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/CHAOS/; publications=https://doi.org/10.1016/j.media.2020.101950,active
gc:EAD2019,EAD2019,"Endoscopic Artefact Detection (EAD) is a core problem and needed for realising robust computer-assisted tools. The EAD challenge has 3 tasks: 1) Multi-class artefact detection, 2) Region segmentation,...",,CLOSED,,https://ead2019.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/EAD2019/; publications=,ended
gc:ACDC-LungHP,ACDC-LungHP,Automatic Cancer Detection and Classification in Whole-slide Lung Histopathology,,OPEN,,https://acdc-lunghp.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/ACDC-LungHP/; publications=,active
gc:PALM,PALM,The Pathologic Myopia Challenge (PALM) focuses on the investigation and development of algorithms associated with the diagnosis of Pathological Myopia (PM) and segmentation of lesions in fundus photos...,,OPEN,,https://palm.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/PALM/; publications=,active
gc:iChallenges,iChallenges,"We organized a serial of challenges on different eye image modalities, such as REFUGE, PALM, RETOUCH, etc.",,CLOSED,,https://ichallenges.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/iChallenges/; publications=,ended
gc:Decathlon-10,Decathlon,The Medical Segmentation Decathlon challenge tests the generalisability of machine learning algorithms when applied to 10 different semantic segmentation task.,,OPEN,,https://decathlon-10.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/Decathlon-10/; publications=https://doi.org/10.1038/s41467-022-30695-9,active
gc:LYON19,LYON19,Automatic Lymphocyte detection in IHC stained specimens.,,OPEN,,https://lyon19.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/LYON19/; publications=,active
gc:KiTS19,KiTS19,2019 Kidney and Kidney Tumor Segmentation Challenge,,OPEN,,https://kits19.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/KiTS19/; publications=https://arxiv.org/abs/1912.01054,active
gc:PAIP2019,PAIP 2019,PAIP2019: Liver Cancer Segmentation       Task 1: Liver Cancer Segmentation     Task 2: Viable Tumor Burden Estimation,,CLOSED,,https://paip2019.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/PAIP2019/; publications=,ended
gc:orCaScore,orCaScore,The purpose of the orCaScore challenge is to compare methods for automatic and semi-automatic coronary artery calcium scoring in cardiac CT scans. This evaluation framework was launched at the MICCAI ...,,OPEN,,https://orcascore.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/orCaScore/; publications=https://doi.org/10.1118/1.4945696,active
gc:curious2019,curious2019,MICCAI Challenge 2019 for Correction of Brainshift with Intra-Operative Ultrasound. Taks 1: Register pre-operative MRI to iUS before tumor resection;Taks 2: Register iUS after tumor resection to iUS b...,,CLOSED,,https://curious2019.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/curious2019/; publications=,ended
gc:patchcamelyon,PatchCamelyon,PatchCamelyon is a new and challenging image classification dataset of 327.680 color images (96 x 96px) extracted from histopathology images of the CAMELYON16 challenge. The goal is to detect breast c...,,OPEN,,https://patchcamelyon.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/patchcamelyon/; publications=,active
gc:EndoVisSub2019-SCARED,Stereo Correspondence and Reconstruction of Endoscopic Data,Stereo Correspondence and Reconstruction of Endoscopic Data,,CLOSED,,https://endovissub2019-scared.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/EndoVisSub2019-SCARED/; publications=,ended
gc:VerSe2019,VerSe`19,Vertebrae labelling and segmentation on a spine dataset on an unprecedented 150 CT scans with voxel-level vertebral annotations.,,OPEN,,https://verse2019.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/VerSe2019/; publications=,active
gc:Gleason2019,Gleason2019,MICCAI 2019 Automatic Prostate Gleason Grading Challenge: This challenge aims at the automatic Gleason grading of prostate cancer from H&E-stained histopathology images. This task is of critical impor...,,CLOSED,,https://gleason2019.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/Gleason2019/; publications=,ended
gc:AGE,AGE,ANGLE CLOSURE GLAUCOMA EVALUATION CHALLENGE,,OPEN,,https://age.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/AGE/; publications=,active
gc:AMD,iChallenge-AMD,Age-related Macular Degeneration Challenge,,OPEN,,https://amd.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/AMD/; publications=,active
